fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-03,Enero,2022,Línea 9,Prepago,1900
2022-01-03,Enero,2022,Línea 9,Gratuidad,3646
2022-01-03,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-03,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-03,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-04,Enero,2022,Línea 1,Boleto,40019
2022-01-04,Enero,2022,Línea 1,Prepago,15782
2022-01-04,Enero,2022,Línea 1,Gratuidad,23226
2022-01-04,Enero,2022,Línea 1 Nochebús,Boleto,422
2022-01-04,Enero,2022,Línea 1 Nochebús,Prepago,134
2022-01-04,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-04,Enero,2022,Línea 2,Boleto,9627
2022-01-04,Enero,2022,Línea 2,Prepago,4123
2022-01-04,Enero,2022,Línea 2,Gratuidad,6548
2022-01-04,Enero,2022,Línea 3,Boleto,7317
2022-01-04,Enero,2022,Línea 3,Prepago,3864
2022-01-04,Enero,2022,Línea 3,Gratuidad,5786
2022-01-04,Enero,2022,Línea 4,Boleto,7702
2022-01-04,Enero,2022,Línea 4,Prepago,0
2022-01-04,Enero,2022,Línea 4,Gratuidad,2702
2022-01-04,Enero,2022,Línea 5,Boleto,4999
2022-01-04,Enero,2022,Línea 5,Prepago,0
2022-01-04,Enero,2022,Línea 5,Gratuidad,1810
2022-01-04,Enero,2022,Línea 6,Boleto,3863
2022-01-04,Enero,2022,Línea 6,Prepago,0
2022-01-04,Enero,2022,Línea 6,Gratuidad,1227
2022-01-04,Enero,2022,Línea 7,Boleto,19007
2022-01-04,Enero,2022,Línea 7,Prepago,1668
2022-01-04,Enero,2022,Línea 7,Gratuidad,5532
2022-01-04,Enero,2022,Línea 8,Boleto,0
2022-01-04,Enero,2022,Línea 8,Prepago,0
2022-01-04,Enero,2022,Línea 8,Gratuidad,0
2022-01-04,Enero,2022,Línea 9,Boleto,4868
2022-01-04,Enero,2022,Línea 9,Prepago,2041
2022-01-04,Enero,2022,Línea 9,Gratuidad,4011
2022-01-04,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-04,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-04,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-05,Enero,2022,Línea 1,Boleto,39350
2022-01-05,Enero,2022,Línea 1,Prepago,16639
2022-01-05,Enero,2022,Línea 1,Gratuidad,23304
2022-01-05,Enero,2022,Línea 1 Nochebús,Boleto,366
2022-01-05,Enero,2022,Línea 1 Nochebús,Prepago,185
2022-01-05,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-05,Enero,2022,Línea 2,Boleto,10738
2022-01-05,Enero,2022,Línea 2,Prepago,4105
2022-01-05,Enero,2022,Línea 2,Gratuidad,7069
2022-01-05,Enero,2022,Línea 3,Boleto,7189
2022-01-05,Enero,2022,Línea 3,Prepago,3357
2022-01-05,Enero,2022,Línea 3,Gratuidad,5457
2022-01-05,Enero,2022,Línea 4,Boleto,7302
2022-01-05,Enero,2022,Línea 4,Prepago,0
2022-01-05,Enero,2022,Línea 4,Gratuidad,2562
2022-01-05,Enero,2022,Línea 5,Boleto,5050
2022-01-05,Enero,2022,Línea 5,Prepago,0
2022-01-05,Enero,2022,Línea 5,Gratuidad,1828
2022-01-05,Enero,2022,Línea 6,Boleto,5672
2022-01-05,Enero,2022,Línea 6,Prepago,0
2022-01-05,Enero,2022,Línea 6,Gratuidad,1802
2022-01-05,Enero,2022,Línea 7,Boleto,20011
2022-01-05,Enero,2022,Línea 7,Prepago,1870
2022-01-05,Enero,2022,Línea 7,Gratuidad,5855
2022-01-05,Enero,2022,Línea 8,Boleto,0
2022-01-05,Enero,2022,Línea 8,Prepago,0
2022-01-05,Enero,2022,Línea 8,Gratuidad,0
2022-01-05,Enero,2022,Línea 9,Boleto,4861
2022-01-05,Enero,2022,Línea 9,Prepago,2024
2022-01-05,Enero,2022,Línea 9,Gratuidad,3997
2022-01-05,Enero,2022,Línea 10 (Trolebús elevado),Boleto,0
2022-01-05,Enero,2022,Línea 10 (Trolebús elevado),Prepago,0
2022-01-05,Enero,2022,Línea 10 (Trolebús elevado),Gratuidad,0
2022-01-06,Enero,2022,Línea 1,Boleto,32795
2022-01-06,Enero,2022,Línea 1,Prepago,14541
2022-01-06,Enero,2022,Línea 1,Gratuidad,19703
2022-01-06,Enero,2022,Línea 1 Nochebús,Boleto,843
2022-01-06,Enero,2022,Línea 1 Nochebús,Prepago,248
2022-01-06,Enero,2022,Línea 1 Nochebús,Gratuidad,0
2022-01-06,Enero,2022,Línea 2,Boleto,8755
2022-01-06,Enero,2022,Línea 2,Prepago,3821
2022-01-06,Enero,2022,Línea 2,Gratuidad,5989
2022-01-06,Enero,2022,Línea 3,Boleto,6534
2022-01-06,Enero,2022,Línea 3,Prepago,3287
2022-01-06,Enero,2022,Línea 3,Gratuidad,5082
2022-01-06,Enero,2022,Línea 4,Boleto,7718
2022-01-06,Enero,2022,Línea 4,Prepago,0
2022-01-06,Enero,2022,Línea 4,Gratuidad,2707
2022-01-06,Enero,2022,Línea 5,Boleto,3615
2022-01-06,Enero,2022,Línea 5,Prepago,0
2022-01-06,Enero,2022,Línea 5,Gratuidad,1309
2022-01-06,Enero,2022,Línea 6,Boleto,3969
2022-01-06,Enero,2022,Línea 6,Prepago,0
2022-01-06,Enero,2022,Línea 6,Gratuidad,1261
2022-01-06,Enero,2022,Línea 7,Boleto,16271
2022-01-06,Enero,2022,Línea 7,Prepago,1506
2022-01-06,Enero,2022,Línea 7,Gratuidad,4757
