fecha,mes,anio,linea,tipo_pago,afluencia
2022-01-24,Enero,2022,Línea 2,Gratuidad,7082
2022-01-25,Enero,2022,Línea 1,Prepago,33404
2022-01-25,Enero,2022,Línea 1,Gratuidad,3020
2022-01-25,Enero,2022,Línea 2,Prepago,54670
2022-01-25,Enero,2022,Línea 2,Gratuidad,6565
2022-01-26,Enero,2022,Línea 1,Prepago,32704
2022-01-26,Enero,2022,Línea 1,Gratuidad,3524
2022-01-26,Enero,2022,Línea 2,Prepago,53883
2022-01-26,Enero,2022,Línea 2,Gratuidad,7054
2022-01-27,Enero,2022,Línea 1,Prepago,32511
2022-01-27,Enero,2022,Línea 1,Gratuidad,3069
2022-01-27,Enero,2022,Línea 2,Prepago,55168
2022-01-27,Enero,2022,Línea 2,Gratuidad,6471
2022-01-28,Enero,2022,Línea 1,Prepago,34075
2022-01-28,Enero,2022,Línea 1,Gratuidad,3587
2022-01-28,Enero,2022,Línea 2,Prepago,57012
2022-01-28,Enero,2022,Línea 2,Gratuidad,7338
2022-01-29,Enero,2022,Línea 1,Prepago,33227
2022-01-29,Enero,2022,Línea 1,Gratuidad,2748
2022-01-29,Enero,2022,Línea 2,Prepago,55066
2022-01-29,Enero,2022,Línea 2,Gratuidad,5935
2022-01-30,Enero,2022,Línea 1,Prepago,25531
2022-01-30,Enero,2022,Línea 1,Gratuidad,2489
2022-01-30,Enero,2022,Línea 2,Prepago,42324
2022-01-30,Enero,2022,Línea 2,Gratuidad,4851
2022-01-31,Enero,2022,Línea 1,Prepago,35670
2022-01-31,Enero,2022,Línea 1,Gratuidad,3565
2022-01-31,Enero,2022,Línea 2,Prepago,56275
2022-01-31,Enero,2022,Línea 2,Gratuidad,6444
2022-02-01,Febrero,2022,Línea 1,Prepago,36429
2022-02-01,Febrero,2022,Línea 1,Gratuidad,3575
2022-02-01,Febrero,2022,Línea 2,Prepago,57030
2022-02-01,Febrero,2022,Línea 2,Gratuidad,7708
2022-02-02,Febrero,2022,Línea 1,Prepago,35444
2022-02-02,Febrero,2022,Línea 1,Gratuidad,3220
2022-02-02,Febrero,2022,Línea 2,Prepago,57001
2022-02-02,Febrero,2022,Línea 2,Gratuidad,7065
2022-02-03,Febrero,2022,Línea 1,Prepago,35384
2022-02-03,Febrero,2022,Línea 1,Gratuidad,3246
2022-02-03,Febrero,2022,Línea 2,Prepago,56290
2022-02-03,Febrero,2022,Línea 2,Gratuidad,7577
2022-02-04,Febrero,2022,Línea 1,Prepago,38108
2022-02-04,Febrero,2022,Línea 1,Gratuidad,3347
2022-02-04,Febrero,2022,Línea 2,Prepago,58637
2022-02-04,Febrero,2022,Línea 2,Gratuidad,7128
2022-02-05,Febrero,2022,Línea 1,Prepago,35488
2022-02-05,Febrero,2022,Línea 1,Gratuidad,2846
2022-02-05,Febrero,2022,Línea 2,Prepago,58127
2022-02-05,Febrero,2022,Línea 2,Gratuidad,6399
2022-02-06,Febrero,2022,Línea 1,Prepago,26482
2022-02-06,Febrero,2022,Línea 1,Gratuidad,2121
2022-02-06,Febrero,2022,Línea 2,Prepago,42610
2022-02-06,Febrero,2022,Línea 2,Gratuidad,4621
2022-02-07,Febrero,2022,Línea 1,Prepago,25485
2022-02-07,Febrero,2022,Línea 1,Gratuidad,1932
2022-02-07,Febrero,2022,Línea 2,Prepago,43006
2022-02-07,Febrero,2022,Línea 2,Gratuidad,5411
2022-02-08,Febrero,2022,Línea 1,Prepago,36188
2022-02-08,Febrero,2022,Línea 1,Gratuidad,3623
2022-02-08,Febrero,2022,Línea 2,Prepago,58083
2022-02-08,Febrero,2022,Línea 2,Gratuidad,7690
2022-02-09,Febrero,2022,Línea 1,Prepago,36677
2022-02-09,Febrero,2022,Línea 1,Gratuidad,2983
2022-02-09,Febrero,2022,Línea 2,Prepago,58317
2022-02-09,Febrero,2022,Línea 2,Gratuidad,7712
2022-02-10,Febrero,2022,Línea 1,Prepago,36741
2022-02-10,Febrero,2022,Línea 1,Gratuidad,3451
2022-02-10,Febrero,2022,Línea 2,Prepago,57793
2022-02-10,Febrero,2022,Línea 2,Gratuidad,7471
2022-02-11,Febrero,2022,Línea 1,Prepago,38915
2022-02-11,Febrero,2022,Línea 1,Gratuidad,3542
2022-02-11,Febrero,2022,Línea 2,Prepago,60696
