fecha,mes,anio,servicio,tipo_pago,afluencia
2025-08-17,Agosto,2025,NOCHEBÚS,Gratuidad,76
2025-08-17,Agosto,2025,ORDINARIO,Boleto,0
2025-08-17,Agosto,2025,ORDINARIO,Prepago,24243
2025-08-17,Agosto,2025,ORDINARIO,Gratuidad,4039
2025-08-17,Agosto,2025,S/METRO,Boleto,4125
2025-08-17,Agosto,2025,S/METRO,Prepago,16713
2025-08-17,Agosto,2025,S/METRO,Gratuidad,3407
2025-08-17,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-17,Agosto,2025,SERVICIOS TEMPORALES,Prepago,946
2025-08-17,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,156
2025-08-18,Agosto,2025,ATENEA,Boleto,0
2025-08-18,Agosto,2025,ATENEA,Prepago,19957
2025-08-18,Agosto,2025,ATENEA,Gratuidad,3341
2025-08-18,Agosto,2025,ECOBÚS,Boleto,0
2025-08-18,Agosto,2025,ECOBÚS,Prepago,39782
2025-08-18,Agosto,2025,ECOBÚS,Gratuidad,6537
2025-08-18,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-18,Agosto,2025,EXPDIRECTO,Prepago,4367
2025-08-18,Agosto,2025,EXPDIRECTO,Gratuidad,717
2025-08-18,Agosto,2025,EXPRESO,Boleto,0
2025-08-18,Agosto,2025,EXPRESO,Prepago,103062
2025-08-18,Agosto,2025,EXPRESO,Gratuidad,17311
2025-08-18,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-18,Agosto,2025,NOCHEBÚS,Prepago,360
2025-08-18,Agosto,2025,NOCHEBÚS,Gratuidad,45
2025-08-18,Agosto,2025,ORDINARIO,Boleto,0
2025-08-18,Agosto,2025,ORDINARIO,Prepago,48955
2025-08-18,Agosto,2025,ORDINARIO,Gratuidad,8234
2025-08-18,Agosto,2025,S/METRO,Boleto,7550
2025-08-18,Agosto,2025,S/METRO,Prepago,22070
2025-08-18,Agosto,2025,S/METRO,Gratuidad,4812
2025-08-18,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-18,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1086
2025-08-18,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,181
2025-08-19,Agosto,2025,ATENEA,Boleto,0
2025-08-19,Agosto,2025,ATENEA,Prepago,18975
2025-08-19,Agosto,2025,ATENEA,Gratuidad,3206
2025-08-19,Agosto,2025,ECOBÚS,Boleto,0
2025-08-19,Agosto,2025,ECOBÚS,Prepago,41259
2025-08-19,Agosto,2025,ECOBÚS,Gratuidad,6806
2025-08-19,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-19,Agosto,2025,EXPDIRECTO,Prepago,4732
2025-08-19,Agosto,2025,EXPDIRECTO,Gratuidad,775
2025-08-19,Agosto,2025,EXPRESO,Boleto,0
2025-08-19,Agosto,2025,EXPRESO,Prepago,109640
2025-08-19,Agosto,2025,EXPRESO,Gratuidad,18418
2025-08-19,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-19,Agosto,2025,NOCHEBÚS,Prepago,353
2025-08-19,Agosto,2025,NOCHEBÚS,Gratuidad,41
2025-08-19,Agosto,2025,ORDINARIO,Boleto,0
2025-08-19,Agosto,2025,ORDINARIO,Prepago,51500
2025-08-19,Agosto,2025,ORDINARIO,Gratuidad,8656
2025-08-19,Agosto,2025,S/METRO,Boleto,4164
2025-08-19,Agosto,2025,S/METRO,Prepago,16656
2025-08-19,Agosto,2025,S/METRO,Gratuidad,3418
2025-08-19,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-19,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1113
2025-08-19,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,182
2025-08-20,Agosto,2025,ATENEA,Boleto,0
2025-08-20,Agosto,2025,ATENEA,Prepago,21913
2025-08-20,Agosto,2025,ATENEA,Gratuidad,3683
2025-08-20,Agosto,2025,ECOBÚS,Boleto,0
2025-08-20,Agosto,2025,ECOBÚS,Prepago,41131
2025-08-20,Agosto,2025,ECOBÚS,Gratuidad,6760
2025-08-20,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-20,Agosto,2025,EXPDIRECTO,Prepago,4575
2025-08-20,Agosto,2025,EXPDIRECTO,Gratuidad,749
2025-08-20,Agosto,2025,EXPRESO,Boleto,0
2025-08-20,Agosto,2025,EXPRESO,Prepago,106605
2025-08-20,Agosto,2025,EXPRESO,Gratuidad,17939
2025-08-20,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-20,Agosto,2025,NOCHEBÚS,Prepago,393
2025-08-20,Agosto,2025,NOCHEBÚS,Gratuidad,47
2025-08-20,Agosto,2025,ORDINARIO,Boleto,0
2025-08-20,Agosto,2025,ORDINARIO,Prepago,51114
2025-08-20,Agosto,2025,ORDINARIO,Gratuidad,8604
2025-08-20,Agosto,2025,S/METRO,Boleto,3700
2025-08-20,Agosto,2025,S/METRO,Prepago,15718
2025-08-20,Agosto,2025,S/METRO,Gratuidad,3191
2025-08-20,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-20,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1444
2025-08-20,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,238
2025-08-21,Agosto,2025,ATENEA,Boleto,0
2025-08-21,Agosto,2025,ATENEA,Prepago,20618
2025-08-21,Agosto,2025,ATENEA,Gratuidad,3477
2025-08-21,Agosto,2025,ECOBÚS,Boleto,0
2025-08-21,Agosto,2025,ECOBÚS,Prepago,40937
2025-08-21,Agosto,2025,ECOBÚS,Gratuidad,6737
2025-08-21,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-21,Agosto,2025,EXPDIRECTO,Prepago,4243
2025-08-21,Agosto,2025,EXPDIRECTO,Gratuidad,695
2025-08-21,Agosto,2025,EXPRESO,Boleto,0
2025-08-21,Agosto,2025,EXPRESO,Prepago,103590
2025-08-21,Agosto,2025,EXPRESO,Gratuidad,17407
2025-08-21,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-21,Agosto,2025,NOCHEBÚS,Prepago,397
2025-08-21,Agosto,2025,NOCHEBÚS,Gratuidad,51
2025-08-21,Agosto,2025,ORDINARIO,Boleto,0
2025-08-21,Agosto,2025,ORDINARIO,Prepago,50919
2025-08-21,Agosto,2025,ORDINARIO,Gratuidad,8553
2025-08-21,Agosto,2025,S/METRO,Boleto,3622
2025-08-21,Agosto,2025,S/METRO,Prepago,15765
2025-08-21,Agosto,2025,S/METRO,Gratuidad,3179
2025-08-21,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-21,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1160
2025-08-21,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,194
2025-08-22,Agosto,2025,ATENEA,Boleto,0
2025-08-22,Agosto,2025,ATENEA,Prepago,22178
2025-08-22,Agosto,2025,ATENEA,Gratuidad,3713
2025-08-22,Agosto,2025,ECOBÚS,Boleto,0
2025-08-22,Agosto,2025,ECOBÚS,Prepago,41428
2025-08-22,Agosto,2025,ECOBÚS,Gratuidad,6801
2025-08-22,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-22,Agosto,2025,EXPDIRECTO,Prepago,3931
2025-08-22,Agosto,2025,EXPDIRECTO,Gratuidad,645
2025-08-22,Agosto,2025,EXPRESO,Boleto,0
2025-08-22,Agosto,2025,EXPRESO,Prepago,101338
2025-08-22,Agosto,2025,EXPRESO,Gratuidad,17004
2025-08-22,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-22,Agosto,2025,NOCHEBÚS,Prepago,450
2025-08-22,Agosto,2025,NOCHEBÚS,Gratuidad,53
2025-08-22,Agosto,2025,ORDINARIO,Boleto,0
2025-08-22,Agosto,2025,ORDINARIO,Prepago,48323
2025-08-22,Agosto,2025,ORDINARIO,Gratuidad,8121
2025-08-22,Agosto,2025,S/METRO,Boleto,4214
2025-08-22,Agosto,2025,S/METRO,Prepago,16969
2025-08-22,Agosto,2025,S/METRO,Gratuidad,3457
2025-08-22,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-22,Agosto,2025,SERVICIOS TEMPORALES,Prepago,921
2025-08-22,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,151
2025-08-23,Agosto,2025,ATENEA,Boleto,0
2025-08-23,Agosto,2025,ATENEA,Prepago,9971
2025-08-23,Agosto,2025,ATENEA,Gratuidad,1677
2025-08-23,Agosto,2025,ECOBÚS,Boleto,0
2025-08-23,Agosto,2025,ECOBÚS,Prepago,27675
2025-08-23,Agosto,2025,ECOBÚS,Gratuidad,4550
2025-08-23,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-23,Agosto,2025,EXPDIRECTO,Prepago,1404
2025-08-23,Agosto,2025,EXPDIRECTO,Gratuidad,232
2025-08-23,Agosto,2025,EXPRESO,Boleto,0
2025-08-23,Agosto,2025,EXPRESO,Prepago,67766
2025-08-23,Agosto,2025,EXPRESO,Gratuidad,11306
2025-08-23,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-23,Agosto,2025,NOCHEBÚS,Prepago,762
2025-08-23,Agosto,2025,NOCHEBÚS,Gratuidad,101
2025-08-23,Agosto,2025,ORDINARIO,Boleto,0
2025-08-23,Agosto,2025,ORDINARIO,Prepago,34010
2025-08-23,Agosto,2025,ORDINARIO,Gratuidad,5670
2025-08-23,Agosto,2025,S/METRO,Boleto,4640
2025-08-23,Agosto,2025,S/METRO,Prepago,16837
2025-08-23,Agosto,2025,S/METRO,Gratuidad,3506
2025-08-23,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-23,Agosto,2025,SERVICIOS TEMPORALES,Prepago,985
2025-08-23,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,163
2025-08-24,Agosto,2025,ATENEA,Boleto,0
2025-08-24,Agosto,2025,ATENEA,Prepago,8809
2025-08-24,Agosto,2025,ATENEA,Gratuidad,1469
2025-08-24,Agosto,2025,ECOBÚS,Boleto,0
2025-08-24,Agosto,2025,ECOBÚS,Prepago,18186
2025-08-24,Agosto,2025,ECOBÚS,Gratuidad,2969
2025-08-24,Agosto,2025,EXPRESO,Boleto,0
2025-08-24,Agosto,2025,EXPRESO,Prepago,50567
2025-08-24,Agosto,2025,EXPRESO,Gratuidad,8451
2025-08-24,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-24,Agosto,2025,NOCHEBÚS,Prepago,748
2025-08-24,Agosto,2025,NOCHEBÚS,Gratuidad,88
2025-08-24,Agosto,2025,ORDINARIO,Boleto,0
2025-08-24,Agosto,2025,ORDINARIO,Prepago,22400
2025-08-24,Agosto,2025,ORDINARIO,Gratuidad,3718
2025-08-24,Agosto,2025,S/METRO,Boleto,4550
2025-08-24,Agosto,2025,S/METRO,Prepago,16247
2025-08-24,Agosto,2025,S/METRO,Gratuidad,3403
2025-08-24,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-24,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1233
2025-08-24,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,203
2025-08-25,Agosto,2025,ATENEA,Boleto,0
2025-08-25,Agosto,2025,ATENEA,Prepago,20008
2025-08-25,Agosto,2025,ATENEA,Gratuidad,3361
2025-08-25,Agosto,2025,ECOBÚS,Boleto,0
2025-08-25,Agosto,2025,ECOBÚS,Prepago,42946
2025-08-25,Agosto,2025,ECOBÚS,Gratuidad,7067
2025-08-25,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-25,Agosto,2025,EXPDIRECTO,Prepago,4214
2025-08-25,Agosto,2025,EXPDIRECTO,Gratuidad,696
2025-08-25,Agosto,2025,EXPRESO,Boleto,0
2025-08-25,Agosto,2025,EXPRESO,Prepago,106152
2025-08-25,Agosto,2025,EXPRESO,Gratuidad,17792
2025-08-25,Agosto,2025,NOCHEBÚS,Boleto,0
2025-08-25,Agosto,2025,NOCHEBÚS,Prepago,288
2025-08-25,Agosto,2025,NOCHEBÚS,Gratuidad,36
2025-08-25,Agosto,2025,ORDINARIO,Boleto,0
2025-08-25,Agosto,2025,ORDINARIO,Prepago,50002
2025-08-25,Agosto,2025,ORDINARIO,Gratuidad,8365
2025-08-25,Agosto,2025,S/METRO,Boleto,7400
2025-08-25,Agosto,2025,S/METRO,Prepago,21433
2025-08-25,Agosto,2025,S/METRO,Gratuidad,4708
2025-08-25,Agosto,2025,SERVICIOS TEMPORALES,Boleto,0
2025-08-25,Agosto,2025,SERVICIOS TEMPORALES,Prepago,1262
2025-08-25,Agosto,2025,SERVICIOS TEMPORALES,Gratuidad,209
2025-08-26,Agosto,2025,ATENEA,Boleto,0
2025-08-26,Agosto,2025,ATENEA,Prepago,21650
2025-08-26,Agosto,2025,ATENEA,Gratuidad,3645
2025-08-26,Agosto,2025,ECOBÚS,Boleto,0
2025-08-26,Agosto,2025,ECOBÚS,Prepago,43197
2025-08-26,Agosto,2025,ECOBÚS,Gratuidad,7129
2025-08-26,Agosto,2025,EXPDIRECTO,Boleto,0
2025-08-26,Agosto,2025,EXPDIRECTO,Prepago,4717
2025-08-26,Agosto,2025,EXPDIRECTO,Gratuidad,769
2025-08-26,Agosto,2025,EXPRESO,Boleto,0
2025-08-26,Agosto,2025,EXPRESO,Prepago,111385
2025-08-26,Agosto,2025,EXPRESO,Gratuidad,18684
2025-08-26,Agosto,2025,NOCHEBÚS,Boleto,0
